filename,paragraph,sentence,pairs
N5085FM-00012.txt,29,1,[('松田', '日々木'), ('笠井', '日々木'), ('松田', '笠井')]
N5085FM-00012.txt,30,1,[('日々木', '日野')]
N5085FM-00012.txt,40,1,[('笠井', '須賀'), ('松田', '須賀'), ('須賀', '日々木'), ('松田', '日々木'), ('松田', '笠井'), ('笠井', '日々木')]
N5085FM-00012.txt,41,1,[('松田', '日々木')]
N5085FM-00012.txt,42,1,[('松田', '日々木'), ('日々木', '日野'), ('松田', '日野')]
N5085FM-00012.txt,43,1,[('日々木', '笠井'), ('笠井', '田辺'), ('松田', '須賀'), ('須賀', '日々木'), ('日々木', '田辺'), ('松田', '日々木'), ('松田', '田辺'), ('松田', '笠井'), ('須賀', '笠井'), ('須賀', '田辺')]
N5085FM-00013.txt,4,1,[('安藤', '日野')]
N5085FM-00013.txt,8,1,[('三谷先生', '三谷'), ('谷', '三谷先生'), ('谷', '三谷')]
N5085FM-00013.txt,14,1,[('三谷', '日野'), ('谷', '日野'), ('谷', '三谷'), ('三谷先生', '日野'), ('谷', '三谷先生'), ('三谷', '三谷先生')]
N5085FM-00013.txt,17,1,[('三谷', '日野'), ('谷', '日野'), ('谷', '三谷'), ('三谷先生', '日野'), ('谷', '三谷先生'), ('三谷', '三谷先生')]
N5085FM-00013.txt,18,1,[('安藤', '日野')]
N5085FM-00013.txt,20,1,[('三谷先生', '三谷'), ('日々木', '安藤'), ('日々木', '谷'), ('日野', '日々木'), ('日野', '安藤'), ('谷', '安藤'), ('日野', '谷'), ('日々木', '三谷'), ('三谷先生', '日々木'), ('三谷先生', '谷'), ('三谷先生', '安藤'), ('日野', '三谷'), ('日野', '三谷先生'), ('安藤', '三谷'), ('谷', '三谷')]
N5085FM-00013.txt,21,1,[('三谷先生', '三谷'), ('日野', '安藤'), ('谷', '安藤'), ('日野', '谷'), ('三谷先生', '谷'), ('三谷先生', '安藤'), ('日野', '三谷'), ('日野', '三谷先生'), ('安藤', '三谷'), ('谷', '三谷')]
N5085FM-00013.txt,22,1,[('三谷先生', '三谷'), ('日野', '安藤'), ('谷', '安藤'), ('日野', '谷'), ('三谷先生', '谷'), ('三谷先生', '安藤'), ('日野', '三谷'), ('日野', '三谷先生'), ('安藤', '三谷'), ('谷', '三谷')]
N5085FM-00013.txt,23,1,[('安藤', '日野')]
N5085FM-00013.txt,24,1,[('三谷先生', '三谷'), ('谷', '三谷先生'), ('谷', '三谷')]
N5085FM-00013.txt,33,1,[('三谷先生', '三谷'), ('谷', '三谷先生'), ('谷', '三谷')]
N5085FM-00013.txt,34,1,[('三谷先生', '三谷'), ('日々木', '谷'), ('日野', '日々木'), ('日野', '谷'), ('日々木', '三谷'), ('三谷先生', '日々木'), ('三谷先生', '谷'), ('日野', '三谷'), ('日野', '三谷先生'), ('谷', '三谷')]
N5085FM-00014.txt,1,1,[('笠井', '千草')]
N5085FM-00014.txt,5,1,[('日々木', '日野')]
N5085FM-00014.txt,10,1,[('麓', '小西恵')]
N5085FM-00014.txt,12,1,[('麓', '日野')]
N5085FM-00014.txt,14,1,[('安藤', '日々木'), ('日々木', '日野'), ('安藤', '日野')]
N5085FM-00014.txt,15,1,[('日々木', '日野')]
N5085FM-00014.txt,16,1,[('笠井', '日野')]
N5085FM-00014.txt,18,1,[('松田', '日々木')]
N5085FM-00014.txt,20,1,[('日々木', '日野')]
N5085FM-00014.txt,22,1,[('松田', '日々木')]
N5085FM-00015.txt,1,1,[('日々木', '日野')]
N5085FM-00015.txt,5,1,[('日々木', '日野')]
N5085FM-00016.txt,40,1,[('安藤', '日々木')]
N5085FM-00016.txt,43,1,[('日々木', '日野')]
N5085FM-00017.txt,6,1,[('日々木', '日野'), ('小野田', '日々木'), ('小野田', '日野')]
N5085FM-00017.txt,10,1,[('小野田', '日野')]
N5085FM-00017.txt,15,1,[('小野田', '日野')]
N5085FM-00017.txt,19,1,[('小野田', '日野')]
N5085FM-00017.txt,25,1,[('小野田', '日野')]
N5085FM-00017.txt,34,1,[('日々木', '日野')]
N5085FM-00017.txt,35,1,[('日々木', '日野')]
N5085FM-00018.txt,13,1,[('日々木', '日野')]
N5085FM-00018.txt,21,1,[('安藤', '日々木')]
N5085FM-00019.txt,4,1,[('笠井', '田辺'), ('松田', '田辺'), ('松田', '笠井')]
